Species	State
Abietinaria_filicula	1
Actinernus_elongatus	1
Actinostephanus_haeckeli	1
Adamsia_palliata	1
Adelopora_crassilabrum	0
Aegina_citrea	1
Aeginura_grimaldii	1
Aequorea_australis	1
Aequorea_conica	1
Aequorea_forskalea	1
Aequorea_papillata	1
Aequorea_victoria	1
Agalma_clausi	1
Agalma_elegans	1
Agalma_okenii	1
Aglantha_digitale	1
Aglaophenia_elongata	1
Aglaophenia_harpago	1
Aglaophenia_octodonta	1
Aglaophenia_pluma	1
Aglaophenia_rhynchocarpa	1
Aglaophenia_tubiformis	1
Aglaura_hemistoma	1
Aglauropsis_aeora	1
Aiptasia_mutabilis	1
Alatina_moseri	1
Alicia_mirabilis	1
Allantactis_parasitica	1
Amphimedon_queenslandica	0
Amphinema_dinema	1
Amphisbetia_minima	1
Amphisbetia_operculata	1
Amphogona_apicata	1
Antarctoscyphus_spiralis	0
Antennella_ansini	0
Antennella_kiwiana	0
Antennella_secundaria	0
Anthohebella_parasitica	1
Antholoba_achates	1
Anthopleura_krebsi	1
Anthosactis_janmayeni	1
Anthostella_stephensoni	1
Apolemia_lanosa	1
Apolemia_rubriversa	1
Astrohydra_japonica	1
Asyncoryne_ryniensis	0
Athorybia_rosacea	1
Atolla_vanhoeffeni	1
Atolla_wyvillei	1
Aurelia_aurita	1
Aurelia_labiata	0
Bartholomea_annulata	1
Billardia_subrufa	0
Bimeria_vestita	0
Blackfordia_polytentaculata	0
Blackfordia_virginica	0
Boloceroides_mcmurrichi	0
Botrynema_brucei	1
Bougainvillia_carolinensis	0
Bougainvillia_fulva	0
Bougainvillia_muscus	0
Bougainvillia_triestina	0
Bouillonactinia_carcinicola	1
Bouillonactinia_hooperi	1
Branchiocerianthus_imperator	1
Brinckmannia_hexactinellidophila	1
Calliactis_parasitica	1
Calvadosia_campanulata	1
Calvadosia_corbini	1
Calycella_syringa	1
Campanularia_hincksii	1
Campanularia_lennoxensis	1
Campanularia_volubilis	1
Campanulina_pumila	1
Candelabrum_cocksii	1
Carukia_barnesi	1
