Species	State
Abietinaria_filicula	0
Actinernus_elongatus	1
Actinostephanus_haeckeli	1
Adamsia_palliata	1
Adelopora_crassilabrum	0
Aegina_citrea	0
Aeginura_grimaldii	0
Aequorea_australis	0
Aequorea_conica	0
Aequorea_forskalea	0
Aequorea_papillata	0
Aequorea_victoria	0
Agalma_clausi	0
Agalma_elegans	0
Agalma_okenii	0
Aglantha_digitale	0
Aglaophenia_elongata	0
Aglaophenia_harpago	0
Aglaophenia_octodonta	0
Aglaophenia_pluma	0
Aglaophenia_rhynchocarpa	0
Aglaophenia_tubiformis	0
Aglaura_hemistoma	0
Aglauropsis_aeora	0
Aiptasia_mutabilis	1
Alatina_moseri	0
Alicia_mirabilis	1
Allantactis_parasitica	1
Amphimedon_queenslandica	0
Amphinema_dinema	0
Amphisbetia_minima	0
Amphisbetia_operculata	0
Amphogona_apicata	0
Antarctoscyphus_spiralis	0
Antennella_ansini	0
Antennella_kiwiana	0
Antennella_secundaria	0
Anthohebella_parasitica	0
Antholoba_achates	1
Anthopleura_krebsi	1
Anthosactis_janmayeni	1
Anthostella_stephensoni	1
Apolemia_lanosa	0
Apolemia_rubriversa	0
Astrohydra_japonica	0
Asyncoryne_ryniensis	0
Athorybia_rosacea	0
Atolla_vanhoeffeni	0
Atolla_wyvillei	0
Aurelia_aurita	0
Aurelia_labiata	0
Bartholomea_annulata	1
Billardia_subrufa	0
Bimeria_vestita	0
Blackfordia_polytentaculata	0
Blackfordia_virginica	0
Boloceroides_mcmurrichi	1
Botrynema_brucei	0
Bougainvillia_carolinensis	0
Bougainvillia_fulva	0
Bougainvillia_muscus	0
Bougainvillia_triestina	0
Bouillonactinia_carcinicola	0
Bouillonactinia_hooperi	0
Branchiocerianthus_imperator	0
Brinckmannia_hexactinellidophila	0
Calliactis_parasitica	1
Calvadosia_campanulata	0
Calvadosia_corbini	0
Calycella_syringa	0
Campanularia_hincksii	0
Campanularia_lennoxensis	0
Campanularia_volubilis	0
Campanulina_pumila	0
Candelabrum_cocksii	0
Carukia_barnesi	0
Carybdea_brevipedalia	0
Carybdea_marsupialis	0
Carybdea_rastonii	0
Carybdea_xaymacana	0
Cassiopea_andromeda	0
Cassiopea_ornata	0
Cassiopea_xamachana	0
Catostylus_mosaicus	0
Cereus_pedunculatus	1
Ceriantheomorphe_brasiliensis	1
Ceriantheopsis_americana	1
Cerianthus_membranaceus	1
Charisea_saxicola	1
Chironex_fleckeri	0
Chiropsalmus_quadrumanus	0
Chrysaora_hysoscella	0
Chrysaora_quinquecirrha	0
Cladocarpus_integer	0
Cladocoryne_floccosa	0
Cladonema_radiatum	0
Clava_multicornis	0
Clavactinia_gallensis	0
Clavactinia_serrata	0
Clytia_elsaeoswaldae	0
Clytia_folleata	0
Clytia_gracilis	0
Clytia_hemisphaerica	0
Clytia_hummelincki	0
Clytia_linearis	0
Clytia_noliformis	0
Clytia_paulensis	0
Clytia_xiamenensis	0
Codonium_prolifera	0
Codonium_proliferum	0
Conopora_candelabrum	0
Copula_sivickisi	0
Corallimorphus_profundus	1
Cordylophora_caspia	0
Corymorpha_bigelowi	0
Corymorpha_glacialis	0
Corymorpha_groenlandica	0
Corymorpha_nutans	0
Corymorpha_pendula	0
Corymorpha_sarsii	0
