Class	Subclass	Order	Suborder	Infraorder/Superfamily	Family	Species_list	Cnidocyte	Type	Reference	synonymous_names_ref	synonymous_names_origtree	notes
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Abyssoprimnoa_gemina						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Narella_bowersi						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Narella_clavata						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Narella_versluysi						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Narella_dichotoma						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoa_pacifica						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Parastenella_spinosa						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Fannyella_rossii						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Fannyella_spinosa						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Onogorgia_nodosa						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Arntzia_gracilis						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Ophidiogorgia_kuekenthali						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoeides_kuekenthali					[=Digitogorgia_kuekenthali]	
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoeides_sertularoides						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Plumarella_delicatissima						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoella_scotiae						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoella_antarctica						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Mirostenella_articulata						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Plumarella_diadema						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_antarctica						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_variabilis						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_pendulina						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Plumarella_undulata						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_chilensis						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_crenelata						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_viridis						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_grasshoffi						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_laxa						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoella_divaricata						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Primnoella_chilensis						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Convexella_magelhaenica						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Heptaprimnoa_patagonica						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Dasystenella_acanthina					[=Dasystenella_austasensis]	
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Metafannyella_kuekenthali						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Callogorgia_korema					[=Fanellia_korema]	
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Thouarella_coronata						
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Callogorgia_euthyeia					[=Fanellia_euthyeia]	
Anthozoa	Octocorallia	Alcyonacea	Calcaxonia	-	Primnoidae	Callogorgia_medialis					[=Fanellia_medialis]	
