Species	State
Abietinaria_filicula	0
Actinernus_elongatus	0
Actinostephanus_haeckeli	0
Adamsia_palliata	0
Adelopora_crassilabrum	1
Aegina_citrea	0
Aeginura_grimaldii	0
Aequorea_australis	0
Aequorea_conica	0
Aequorea_forskalea	0
Aequorea_papillata	0
Aequorea_victoria	0
Agalma_clausi	0
Agalma_elegans	0
Agalma_okenii	0
Aglantha_digitale	1
Aglaophenia_elongata	0
Aglaophenia_harpago	0
Aglaophenia_octodonta	0
Aglaophenia_pluma	0
Aglaophenia_rhynchocarpa	0
Aglaophenia_tubiformis	0
Aglaura_hemistoma	1
Aglauropsis_aeora	1
Aiptasia_mutabilis	0
Alatina_moseri	1
Alicia_mirabilis	0
Allantactis_parasitica	0
Amphimedon_queenslandica	0
Amphinema_dinema	1
Amphisbetia_minima	0
Amphisbetia_operculata	0
Amphogona_apicata	1
Antarctoscyphus_spiralis	0
Antennella_ansini	0
Antennella_kiwiana	0
Antennella_secundaria	0
Anthohebella_parasitica	0
Antholoba_achates	0
Anthopleura_krebsi	0
Anthosactis_janmayeni	0
Anthostella_stephensoni	0
Apolemia_lanosa	0
Apolemia_rubriversa	0
Astrohydra_japonica	1
Asyncoryne_ryniensis	1
Athorybia_rosacea	0
Atolla_vanhoeffeni	1
Atolla_wyvillei	1
Aurelia_aurita	1
Aurelia_labiata	1
Bartholomea_annulata	0
Billardia_subrufa	1
Bimeria_vestita	1
Blackfordia_polytentaculata	0
Blackfordia_virginica	0
Boloceroides_mcmurrichi	0
Botrynema_brucei	1
Bougainvillia_carolinensis	1
Bougainvillia_fulva	1
Bougainvillia_muscus	1
Bougainvillia_triestina	1
Bouillonactinia_carcinicola	1
Bouillonactinia_hooperi	1
Branchiocerianthus_imperator	1
Brinckmannia_hexactinellidophila	1
Calliactis_parasitica	0
Calvadosia_campanulata	1
Calvadosia_corbini	1
Calycella_syringa	0
Campanularia_hincksii	0
Campanularia_lennoxensis	0
Campanularia_volubilis	0
Campanulina_pumila	0
Candelabrum_cocksii	1
Carukia_barnesi	0
Carybdea_brevipedalia	1
Carybdea_marsupialis	1
Carybdea_rastonii	1
Carybdea_xaymacana	1
Cassiopea_andromeda	1
Cassiopea_ornata	0
Cassiopea_xamachana	1
Catostylus_mosaicus	0
Cereus_pedunculatus	0
Ceriantheomorphe_brasiliensis	0
Ceriantheopsis_americana	0
Cerianthus_membranaceus	0
Charisea_saxicola	0
Chironex_fleckeri	0
Chiropsalmus_quadrumanus	1
Chrysaora_hysoscella	1
Chrysaora_quinquecirrha	1
Cladocarpus_integer	0
Cladocoryne_floccosa	1
Cladonema_radiatum	0
Clava_multicornis	1
Clavactinia_gallensis	1
Clavactinia_serrata	1
Clytia_elsaeoswaldae	0
Clytia_folleata	0
Clytia_gracilis	0
Clytia_hemisphaerica	0
Clytia_hummelincki	0
Clytia_linearis	0
Clytia_noliformis	0
Clytia_paulensis	0
Clytia_xiamenensis	0
Codonium_prolifera	1
Codonium_proliferum	1
Conopora_candelabrum	1
Copula_sivickisi	1
Corallimorphus_profundus	0
Cordylophora_caspia	1
Corymorpha_bigelowi	1
Corymorpha_glacialis	1
Corymorpha_groenlandica	1
Corymorpha_nutans	1
Corymorpha_pendula	1
