Species	State
Abietinaria_filicula	1
Actinernus_elongatus	1
Actinostephanus_haeckeli	0
Adamsia_palliata	1
Adelopora_crassilabrum	0
Aegina_citrea	0
Aeginura_grimaldii	0
Aequorea_australis	1
Aequorea_conica	1
Aequorea_forskalea	1
Aequorea_papillata	1
Aequorea_victoria	1
Agalma_clausi	0
Agalma_elegans	0
Agalma_okenii	0
Aglantha_digitale	0
Aglaophenia_elongata	1
Aglaophenia_harpago	1
Aglaophenia_octodonta	1
Aglaophenia_pluma	1
Aglaophenia_rhynchocarpa	1
Aglaophenia_tubiformis	1
Aglaura_hemistoma	0
Aglauropsis_aeora	1
Aiptasia_mutabilis	1
Alatina_moseri	0
Alicia_mirabilis	1
Allantactis_parasitica	1
Amphimedon_queenslandica	0
Amphinema_dinema	1
Amphisbetia_minima	1
Amphisbetia_operculata	1
Amphogona_apicata	0
Antarctoscyphus_spiralis	1
Antennella_ansini	1
Antennella_kiwiana	1
Antennella_secundaria	1
Anthohebella_parasitica	1
Antholoba_achates	1
Anthopleura_krebsi	1
Anthosactis_janmayeni	1
Anthostella_stephensoni	1
Apolemia_lanosa	1
Apolemia_rubriversa	1
Astrohydra_japonica	1
Asyncoryne_ryniensis	0
Athorybia_rosacea	0
Atolla_vanhoeffeni	0
Atolla_wyvillei	0
Aurelia_aurita	0
Aurelia_labiata	0
Bartholomea_annulata	1
Billardia_subrufa	1
Bimeria_vestita	0
Blackfordia_polytentaculata	1
Blackfordia_virginica	1
Boloceroides_mcmurrichi	1
Botrynema_brucei	0
Bougainvillia_carolinensis	0
Bougainvillia_fulva	0
Bougainvillia_muscus	0
Bougainvillia_triestina	0
Bouillonactinia_carcinicola	0
Bouillonactinia_hooperi	0
Branchiocerianthus_imperator	1
Brinckmannia_hexactinellidophila	1
Calliactis_parasitica	1
Calvadosia_campanulata	0
Calvadosia_corbini	0
Calycella_syringa	1
Campanularia_hincksii	1
Campanularia_lennoxensis	1
Campanularia_volubilis	1
Campanulina_pumila	1
Candelabrum_cocksii	0
Carukia_barnesi	1
