Class	Species	Cnidocyte	Descriptor	Reference
Anthozoa	Abyssoprimnoa_gemina			
Anthozoa	Acanthogorgia_armata			
Anthozoa	Acanthopathes_thyoides			
Anthozoa	Acropora_cervicornis			
Anthozoa	Acropora_cytherea			
Anthozoa	Acropora_digitifera			
Anthozoa	Acropora_humilis			
Anthozoa	Acropora_hyacinthus			
Anthozoa	Acropora_muricata			
Anthozoa	Acropora_palmata			
Anthozoa	Acropora_robusta			
Anthozoa	Acrozoanthus_australiae			
Anthozoa	Actinauge_richardi			
Anthozoa	Actinernus_elongatus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Actinernus_elongatus	mastigophore	microbasic p	Carlgren, 1940
Anthozoa	Actinernus_elongatus	spirocyst		Carlgren, 1940
Anthozoa	Actinia_fragacea			
Anthozoa	Actinia_tenebrosa			
Anthozoa	Actinoscyphia_plebeia			
Anthozoa	Actinostephanus_haeckeli	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Actinostephanus_haeckeli	spirocyst		Carlgren, 1940
Anthozoa	Actinostola_crassicornis			
Anthozoa	Actinostola_georgiana			
Anthozoa	Actinothoe_sphyrodeta			
Anthozoa	Adamsia_palliata	isorhiza	atrichous	Schmidt, 1974
Anthozoa	Adamsia_palliata	isorhiza	basitrichous	Schmidt, 1974
Anthozoa	Adamsia_palliata	mastigophore	microbasic b	Schmidt, 1974
Anthozoa	Adamsia_palliata	mastigophore	microbasic p	Schmidt, 1974
Anthozoa	Adamsia_palliata	spirocyst		Schmidt, 1974
Anthozoa	Agaricia_agaricites			
Anthozoa	Agaricia_fragilis			
Anthozoa	Agaricia_humilis			
Anthozoa	Agaricia_lamarcki			
Anthozoa	Agaricia_tenuifolia			
Anthozoa	Aiptasia_couchii			
Anthozoa	Aiptasia_mutabilis	amastigophore	microbasic	Carlgren, 1940
Anthozoa	Aiptasia_mutabilis	mastigophore	microbasic p	Carlgren, 1940
Anthozoa	Aiptasia_mutabilis	isorhiza	holotrichous	Carlgren, 1940
Anthozoa	Aiptasia_mutabilis	spirocyst		Carlgren, 1940
Anthozoa	Aiptasiogeton_hyalinus			
Anthozoa	Alaskagorgia_aleutiana			
Anthozoa	Alicia_mirabilis	amastigophore	microbasic	Carlgren, 1940
Anthozoa	Alicia_mirabilis	amastigophore	macrobasic	Carlgren, 1940
Anthozoa	Alicia_mirabilis	spirocyst		Carlgren, 1940; Schmidt, 1974
Anthozoa	Alicia_sansibarensis			
Anthozoa	Allantactis_parasitica	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Allantactis_parasitica	mastigophore	microbasic p	Carlgren, 1940
Anthozoa	Allantactis_parasitica	spirocyst		Carlgren, 1940
Anthozoa	Alvinactis_chessi			
Anthozoa	Amplexidiscus_fenestrafer			
Anthozoa	Andvakia_boninensis			
Anthozoa	Andvakia_discipulorum			
Anthozoa	Anemonia_viridis			
Anthozoa	Anthemiphyllia_spinifera			
Anthozoa	Antholoba_achates	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Antholoba_achates	mastigophore	microbasic p	Carlgren, 1940
Anthozoa	Antholoba_achates	spirocyst		Carlgren, 1940
Anthozoa	Anthopleura_artemisia			
Anthozoa	Anthopleura_atodai			
Anthozoa	Anthopleura_elegantissima			
Anthozoa	Anthopleura_handi			
Anthozoa	Anthopleura_krebsi	isorhiza	basitrichous	Bigger, 1988
Anthozoa	Anthopleura_krebsi	isorhiza	holotrichous	Bigger, 1988
Anthozoa	Anthopleura_krebsi	spirocyst		Bigger, 1988
Anthozoa	Anthopleura_kurogane			
Anthozoa	Anthopleura_rosea			
Anthozoa	Anthosactis_janmayeni	isorhiza	basitrichous	Carlgren, 1949
Anthozoa	Anthosactis_janmayeni	mastigophore	microbasic b	Carlgren, 1949
Anthozoa	Anthosactis_janmayeni	mastigophore	microbasic p	Carlgren, 1949
Anthozoa	Anthosactis_janmayeni	spirocyst		Carlgren, 1949
Anthozoa	Anthostella_stephensoni	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Anthostella_stephensoni	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Anthostella_stephensoni	mastigophore	microbasic p	Carlgren, 1940
Anthozoa	Anthostella_stephensoni	spirocyst		Carlgren, 1940
Anthozoa	Anthothoe_chilensis			
Anthozoa	Antillogorgia_bipinnata			
Anthozoa	Antipathes_atlantica			
Anthozoa	Antipathes_galapagensis			
Anthozoa	Antipathes_griggi			
Anthozoa	Antipathozoanthus_macaronesicus			
Anthozoa	Antipodactis_awii			
Anthozoa	Aphanipathes_verticillata			
Anthozoa	Arntzia_gracilis			
Anthozoa	Astreopora_myriophthalma			
Anthozoa	Aulactinia_incubans			
Anthozoa	Aulactinia_marplatensis			
Anthozoa	Aulactinia_stella			
Anthozoa	Aulactinia_vancouverensis			
Anthozoa	Aulactinia_veratra			
Anthozoa	Aulactinia_verrucosa			
Anthozoa	Balanophyllia_regia			
Anthozoa	Bartholomea_annulata	isorhiza	basitrichous	Carlgren, 1949
Anthozoa	Bartholomea_annulata	mastigophore	microbasic p	Carlgren, 1949
