Species	State
Abietinaria_filicula	3
Actinernus_elongatus	2
Actinostephanus_haeckeli	2
Adamsia_palliata	3
Adelopora_crassilabrum	0
Aegina_citrea	3
Aeginura_grimaldii	3
Aequorea_australis	3
Aequorea_conica	3
Aequorea_forskalea	3
Aequorea_papillata	3
Agalma_clausi	1
Agalma_elegans	1
Agalma_okenii	1
Aglantha_digitale	1
Aglaophenia_elongata	2
Aglaophenia_harpago	2
Aglaophenia_octodonta	2
Aglaophenia_pluma	2
Aglaophenia_rhynchocarpa	2
Aglaophenia_tubiformis	2
Aglaura_hemistoma	1
Aglauropsis_aeora	3
Aiptasia_mutabilis	2
Alicia_mirabilis	0
Allantactis_parasitica	2
Amphimedon_queenslandica	0
Amphinema_dinema	3
Amphisbetia_minima	3
Amphisbetia_operculata	3
Amphogona_apicata	1
Antarctoscyphus_spiralis	0
Antennella_ansini	0
Antennella_kiwiana	0
Antennella_secundaria	0
Anthohebella_parasitica	2
Antholoba_achates	2
Anthopleura_krebsi	2
Anthosactis_janmayeni	2
Anthostella_stephensoni	3
Apolemia_lanosa	1
Apolemia_rubriversa	1
Astrohydra_japonica	3
Asyncoryne_ryniensis	0
Athorybia_rosacea	1
Atolla_vanhoeffeni	2
Atolla_wyvillei	2
Aurelia_aurita	3
Aurelia_labiata	0
Bartholomea_annulata	2
Billardia_subrufa	0
Bimeria_vestita	0
Blackfordia_polytentaculata	0
Blackfordia_virginica	0
Boloceroides_mcmurrichi	0
Botrynema_brucei	1
Bougainvillia_carolinensis	0
Bougainvillia_fulva	0
Bougainvillia_muscus	0
Bougainvillia_triestina	0
Bouillonactinia_carcinicola	2
Bouillonactinia_hooperi	2
Branchiocerianthus_imperator	3
Brinckmannia_hexactinellidophila	3
Calliactis_parasitica	2
Calycella_syringa	3
Campanularia_hincksii	3
Campanularia_lennoxensis	3
Campanularia_volubilis	3
Campanulina_pumila	3
Candelabrum_cocksii	1
Carybdea_brevipedalia	2
Carybdea_marsupialis	3
Carybdea_rastonii	1
Cassiopea_andromeda	2
Cassiopea_ornata	2
Cassiopea_xamachana	2
Catostylus_mosaicus	2
Cereus_pedunculatus	2
Ceriantheomorphe_brasiliensis	3
Ceriantheopsis_americana	3
Cerianthus_membranaceus	3
Charisea_saxicola	2
Chrysaora_hysoscella	1
Chrysaora_quinquecirrha	3
Cladocarpus_integer	2
Cladocoryne_floccosa	0
Cladonema_radiatum	0
Clava_multicornis	2
Clavactinia_gallensis	2
Clavactinia_serrata	2
Clytia_elsaeoswaldae	3
Clytia_folleata	3
Clytia_gracilis	3
Clytia_hemisphaerica	3
Clytia_hummelincki	3
Clytia_linearis	3
Clytia_noliformis	3
Clytia_paulensis	3
Clytia_xiamenensis	3
Codonium_prolifera	3
Codonium_proliferum	3
Conopora_candelabrum	0
Corallimorphus_profundus	2
Cordylophora_caspia	0
Corymorpha_bigelowi	3
Corymorpha_glacialis	3
Corymorpha_groenlandica	3
Corymorpha_nutans	3
Corymorpha_pendula	3
Corymorpha_sarsii	3
Corynactis_californica	2
Corynactis_viridis	2
Coryne_cliffordi	3
Coryne_epizoica	3
Coryne_eximia	3
Coryne_muscoides	3
Coryne_pintneri	3
Coryne_pusilla	3
Coryne_uchidai	3
Craseoa_lathetica	0
Craspedacusta_sinensis	3
Craspedacusta_sowerbii	3
Cricophorus_nutrix	2
Crossota_rufobrunnea	1
Crypthelia_cryptotrema	0
Crypthelia_trophostega	0
Cyanea_capillata	3
Cyclohelia_lamellata	0
Dactylanthus_antarcticus	1
Dentitheca_bidentata	1
Desmophyllum_pertusum	2
Diadumene_cincta	3
Diadumene_lineata	2
Dicoryne_conybearei	0
Diphasia_fallax	3
Discosoma_nummiforme	3
Distichopora_anceps	0
Distichopora_asulcata	0
Distichopora_borealis	0
Distichopora_irregularis	0
Distichopora_robusta	0
Dynamena_crisioides	3
Dynamena_pumila	3
Earleria_panicula	3
Ectopleura_crocea	3
Ectopleura_dumortierii	3
Ectopleura_larynx	3
Ectopleura_marina	3
Ectopleura_obypa	3
Ectopleura_wrighti	3
Eirene_brevistylus	3
Eirene_ceylonensis	3
Eirene_hexanemalis	3
Eirene_kambara	3
Eirene_lacteoides	3
Eirene_menoni	3
Eirene_pyramidalis	3
Eirene_viridula	3
Eleutheria_dichotoma	0
Epiactis_prolifera	2
Epiactis_ritteri	3
Epizoanthus_couchii	2
Errinopora_nanneca	0
Eucheilota_bakeri	3
Eucheilota_maculata	3
Eucheilota_menoni	3
Eudendrium_californicum	1
Eudendrium_capillare	1
Eudendrium_caraiuru	1
Eudendrium_carneum	1
Eudendrium_glomeratum	1
Eudendrium_racemosum	1
Eugymnanthea_inquilina	3
Eugymnanthea_japonica	3
Euphysa_aurata	3
Euphysa_intermedia	3
Euphysa_japonica	3
Euphysa_tentaculata	3
Eutima_curva	3
Eutima_diademata	3
Eutima_gegenbauri	3
Eutima_gracilis	3
Eutima_levuka	3
Eutima_sapinhoa	3
Eutonina_indicans	3
Exaiptasia_diaphana	2
Exocoelactis_actinostoloides	2
Forskalia_asymmetrica	1
Forskalia_edwardsi	1
Forskalia_formosa	1
Forskalia_tholoides	1
Galaxea_fascicularis	0
Gangliostoma_guangdongensis	3
Garveia_annulata	0
Garveia_grisea	0
Geryonia_proboscidalis	3
Glyphoperidium_bursa	2
Gonactinia_prolifera	3
Gonothyraea_inornata	3
Gonothyraea_loveni	3
Gymnopraia_lapislazula	0
Gyractis_sesere	2
Halcampa_duodecimcirrata	2
Halcampoides_purpureus	2
Halecium_beanii	3
Halecium_halecinum	3
Halecium_incertus	3
Halecium_labrosum	3
Halecium_lenticulare	3
Halecium_mediterraneum	3
Halecium_muricatum	3
Halecium_pusillum	3
Haliscera_conica	1
Halistemma_rubrum	1
Halopteris_carinata	0
Halopteris_catharina	0
Halopteris_diaphana	0
Halopteris_liechtensternii	0
Halopteris_minuta	0
Hataia_parva	3
Hebella_venusta	2
Helgicirrha_brevistyla	3
Helgicirrha_malayensis	3
Heliofungia_actiniformis	2
Heteractis_aurora	2
Hippopodius_hippopus	0
Hormosoma_scotti	2
Hybocodon_chilensis	3
Hybocodon_prolifer	0
Hydra_canadensis	3
Hydra_circumcincta	3
Hydra_hymanae	3
Hydra_oligactis	3
Hydra_oxycnida	3
Hydra_polymorphus	3
Hydra_robusta	3
Hydra_sinensis	3
Hydra_utahensis	3
Hydra_viridissima	3
Hydra_vulgaris	3
Hydractinia_echinata	2
Hydractinia_symbiolongicarpus	2
Hydrallmania_falcata	3
Hydranthea_margarica	3
Hydrichthella_epigorgia	0
Hydrichthys_boycei	0
Hydrissa_sodalis	2
Idiellana_pristis	3
Inferiolabiata_lowei	0
Isactinernus_quadrilobatus	2
Isanthus_capensis	2
Isoparactis_ferax	2
Isotealia_antarctica	2
Janaria_mirabilis	2
Koellikerina_fasciculata	0
Lafoea_dumosa	0
Laomedea_calceolifera	3
Laomedea_flexuosa	3
Laviactis_lucida	2
Lensia_conoidea	0
Lepidopora_polystichopora	0
Lepidotheca_chauliostylus	0
Leptohelia_flexibilis	0
Leptohelia_microstylus	0
Leuckartiara_octona	3
Lilyopsis_fluoracantha	0
Limnocnida_tanganjicae	0
Liponema_multiporum	3
Liriope_tetraphylla	3
Lizzia_blondina	0
Lobophyllia_hemprichii	2
Lovenella_assimilis	3
Lovenella_gracilis	3
Lytocarpia_canepa	2
Macrorhynchia_philippina	2
Macrorhynchia_phoenicea	2
Maeotias_marginata	0
Magallana_gigas	0
Malagazzia_carolinae	3
Manania_gwilliami	1
Marrus_orthocanna	1
Melicertum_octocostatum	3
Metridium_senile	3
Mitrocomella_brownei	3
Mitrocomella_niwai	3
Modeeria_rotunda	0
Moerisia_inkermanica	3
Monobrachium_parasitum	0
Monostaechas_quadridens	0
Montastraea_cavernosa	2
Montipora_digitata	0
Morbakka_virulenta	0
Muggiaea_atlantica	0
Nanomia_bijuga	1
Nausithoe_atlantica	2
Nectadamas_diomedeae	0
Nectopyramis_natans	0
Nemalecium_lighti	3
Nemanthus_nitidus	2
Nemertesia_antennina	1
Nemopsis_bachei	0
Neoturris_breviconis	3
Obelia_bidentata	3
Obelia_dichotoma	3
Obelia_geniculata	3
Obelia_longissima	3
Octophialucium_indicum	3
Octophialucium_medium	3
Odessia_maeotica	3
Olindias_formosus	3
Olindias_muelleri	3
Olindias_sambaquiensis	3
Opercularella_lacerata	3
Orbicella_annularis	2
Orthopyxis_caliculata	3
Orthopyxis_crenata	3
Orthopyxis_everta	3
Orthopyxis_integra	3
Orthopyxis_mianzani	3
Orthopyxis_sargassicola	3
Pachycordyle_pusilla	0
Palythoa_tuberculosa	2
Pantachogon_haeckeli	1
Paraconopora_anthohelia	0
Paragorgia_arborea	0
Parazoanthus_axinellae	2
Pelagia_noctiluca	3
Pennaria_disticha	2
Perarella_schneideri	0
Periphylla_periphylla	2
Phellia_gausapata	2
Phialella_quadrata	2
Phyllorhiza_punctata	2
Physalia_physalis	3
Pliobothrus_echinatus	0
Plumularia_duseni	1
Plumularia_filicaulis	1
Plumularia_habereri	1
Plumularia_hyalina	1
Plumularia_lagenifera	1
Plumularia_margaretta	1
Plumularia_mooreana	1
Plumularia_obliqua	1
Plumularia_pulchella	1
Plumularia_setacea	1
Plumularia_setaceoides	1
Plumularia_spiralis	1
Plumularia_strictocarpa	1
Podocoryna_borealis	2
Podocoryna_carnea	2
Podocoryna_exigua	2
Podocoryna_hayamaensis	2
Podocoryna_pruvoti	2
Podocorynoides_minima	0
Polyorchis_haplus	3
Polyorchis_penicillatus	3
Porites_astreoides	2
Porites_lutea	2
Porpita_porpita	1
Praya_dubia	0
Proboscidactyla_flavicirrata	0
Proboscidactyla_ornata	0
Protanthea_simplex	3
Pseudocrypthelia_pachypoma	0
Ptychogena_crocea	0
Ralpharia_gorgoniae	3
Rathkea_octopunctata	0
Rhacostoma_atlanticum	3
Rhizocaulus_verticillatus	3
Rhizorhagium_arenosum	0
Rhodactis_osculifera	2
Rhopalonema_velatum	1
Rhopilema_verrilli	3
Ricordea_florida	2
Rosacea_flaccida	0
Sagartia_troglodytes	2
Sagartiogeton_laceratus	2
Sagartiogeton_undatus	2
Salacia_desmoides	3
Sarsia_apicula	3
Sarsia_lovenii	3
Sarsia_princeps	3
Sarsia_striata	3
Sarsia_tubulosa	3
Savalia_savaglia	2
Schuchertinia_altispina	2
Schuchertinia_conchicola	2
Schuchertinia_milleri	2
Scolionema_suvaense	3
Scrippsia_pacifica	3
Sertularella_diaphana	0
Sertularella_distans	3
Sertularia_argentea	3
Sertularia_cupressina	3
Sertularia_marginata	3
Sertularia_moluccana	3
Sertularia_perpusilla	3
Sertularia_tumida	3
Sertularia_turbinata	3
Silicularia_rosea	3
Slabberia_halterata	3
Solmissus_marshalli	3
Solmundella_bitentaculata	2
Sphaerocoryne_agassizii	2
Stauridiosarsia_gemmifera	3
Stauridiosarsia_nipponica	3
Stauridiosarsia_ophiogaster	3
Stauridiosarsia_producta	3
Stauridiosarsia_reesi	3
Staurocladia_vallentini	0
Staurocladia_wellingtoni	0
Staurodiscus_gotoi	2
Stomolophus_meleagris	2
Strongylocentrotus_purpuratus	0
Stylantheca_papillosa	0
Stylaster_alaskanus	0
Stylaster_californicus	0
Stylaster_campylecus	0
Stylaster_duchassaingii	0
Stylaster_elassotomus	0
Stylaster_galapagensis	0
Stylaster_horologium	0
Stylaster_imbricatus	0
Stylaster_papuensis	0
Stylaster_roseus	0
Stylaster_sanguineus	0
Stylaster_sinuosus	0
Stylaster_verrillii	0
Sympagohydra_tuuli	2
Synhalcurias_elegans	2
Systemapora_ornata	0
Tamoya_haplonema	0
Taxella_gracilicaulus	2
Tetraplatia_volitans	1
Thecocodium_quadratum	0
Thuiaria_thuja	3
Thyroscyphus_marginatus	0
Thyroscyphus_ramosus	0
Tiaricodon_coeruleus	2
Tiaropsidium_kelseyi	2
Tiaropsis_multicirrata	2
Tima_formosa	3
Triactis_producta	0
Trichoplax_adhaerens	0
Tubularia_indivisa	3
Turritopsis_nutricula	0
Urticina_felina	2
Varitentacula_yantaiensis	1
Velella_velella	1
Velkovrhia_enigmatica	0
Zanclea_costata	1
Zanclea_prolifera	0
Zyzzyzus_warreni	3
