Class	Species	Cnidocyte	Descriptor	Reference
Anthozoa	Actinernus_elongatus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Actinostephanus_haeckeli	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Adamsia_palliata	isorhiza	atrichous	Schmidt, 1974
Anthozoa	Adamsia_palliata	isorhiza	basitrichous	Schmidt, 1974
Anthozoa	Aiptasia_mutabilis	isorhiza	holotrichous	Carlgren, 1940
Anthozoa	Allantactis_parasitica	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Antholoba_achates	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Anthopleura_krebsi	isorhiza	basitrichous	Bigger, 1988
Anthozoa	Anthopleura_krebsi	isorhiza	holotrichous	Bigger, 1988
Anthozoa	Anthosactis_janmayeni	isorhiza	basitrichous	Carlgren, 1949
Anthozoa	Anthostella_stephensoni	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Anthostella_stephensoni	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Bartholomea_annulata	isorhiza	basitrichous	Carlgren, 1949
Anthozoa	Calliactis_parasitica	isorhiza	basitrichous	
Anthozoa	Cereus_pedunculatus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Ceriantheomorphe_brasiliensis	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Ceriantheomorphe_brasiliensis	isorhiza	holotrichous	Carlgren, 1940
Anthozoa	Ceriantheopsis_americana	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Ceriantheopsis_americana	isorhiza	holotrichous	Carlgren, 1940
Anthozoa	Cerianthus_membranaceus	isorhiza	atrichous	Schmidt, 1974
Anthozoa	Cerianthus_membranaceus	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Charisea_saxicola	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Corallimorphus_profundus	isorhiza	holotrichous	Carlgren, 1949
Anthozoa	Corynactis_californica	isorhiza	holotrichous	Carlgren, 1949
Anthozoa	Corynactis_viridis	isorhiza	holotrichous	Carlgren, 1949
Anthozoa	Cricophorus_nutrix	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Dactylanthus_antarcticus	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Desmophyllum_pertusum	isorhiza	holotrichous	Carlgren, 1940
Anthozoa	Diadumene_cincta	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Diadumene_cincta	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Diadumene_cincta	isorhiza	holotrichous	Carlgren, 1940
Anthozoa	Diadumene_lineata	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Discosoma_nummiforme	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Discosoma_nummiforme	isorhiza	atrichous	Schmidt, 1974
Anthozoa	Epiactis_prolifera	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Epiactis_ritteri	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Epiactis_ritteri	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Epizoanthus_couchii	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Exaiptasia_diaphana	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Exocoelactis_actinostoloides	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Glyphoperidium_bursa	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Gonactinia_prolifera	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Gonactinia_prolifera	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Gyractis_sesere	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Halcampa_duodecimcirrata	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Halcampoides_purpureus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Heliofungia_actiniformis	isorhiza	holotrichous	
Anthozoa	Heteractis_aurora	isorhiza	basitrichous	Shostak, 1995 after Carlgren, 1940
Anthozoa	Hormosoma_scotti	isorhiza	basitrichous	
Anthozoa	Isactinernus_quadrilobatus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Isanthus_capensis	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Isoparactis_ferax	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Isotealia_antarctica	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Laviactis_lucida	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Liponema_multiporum	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Liponema_multiporum	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Lobophyllia_hemprichii	isorhiza	holotrichous	Thomason & Brown, 1986
Anthozoa	Metridium_senile	isorhiza	atrichous	Bigger, 1988
Anthozoa	Metridium_senile	isorhiza	basitrichous	Bigger, 1988
Anthozoa	Metridium_senile	isorhiza	holotrichous	Bigger, 1988
Anthozoa	Montastraea_cavernosa	isorhiza	holotrichous	
Anthozoa	Nemanthus_nitidus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Orbicella_annularis	isorhiza	holotrichous	Thomason & Brown, 1986
Anthozoa	Palythoa_tuberculosa	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Parazoanthus_axinellae	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Phellia_gausapata	isorhiza	basitrichous	
Anthozoa	Porites_astreoides	isorhiza	holotrichous	Thomason & Brown, 1986
Anthozoa	Porites_lutea	isorhiza	holotrichous	Thomason & Brown, 1986
Anthozoa	Protanthea_simplex	isorhiza	atrichous	Carlgren, 1940
Anthozoa	Protanthea_simplex	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Rhodactis_osculifera	isorhiza	holotrichous	Schmidt, 1974
Anthozoa	Ricordea_florida	isorhiza	holotrichous	Carlgren, 1949
Anthozoa	Sagartia_troglodytes	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Sagartiogeton_laceratus	isorhiza	basitrichous	Carlgren, 1940
Anthozoa	Sagartiogeton_undatus	isorhiza	basitrichous	Carlgren, 1940
